1|1|1|1|3,2,8|1|2
2|1|1|2||2|3
3|1|1|3||3|3
4|1|1|4||4|3
5|1|2|1||5|3
6|1|2|2||6|3
7|1|2|3|1|7|1
8|1|2|4|7|8|3
9|1|3|1|1|9|1
10|2|3|2|2|10|5
11|2|3|3||11|3
12|2|3|4|1|12|1
13|2|4|1|4|1|5
14|2|4|2|4,1,8|2|3
15|2|4|3|4|3|5
16|2|4|4||4|3
17|2|5|1||5|3
18|2|5|2||6|3
19|3|5|3||7|3
20|3|5|4||8|3
21|3|6|1||9|3
22|3|6|2|7|10|3
23|3|6|3|2|11|5
24|3|6|4|1|12|1
25|3|7|1||1|3
26|3|7|2|1|2|1
27|3|7|3|8|3|3
28|4|7|4|1,8|4|1
29|4|8|1||5|3
30|4|8|2|1|6|1
31|4|8|3|4|7|5
32|4|8|4|4|8|5
33|4|9|1|4|9|5
34|4|9|2|4|10|5
35|4|9|3|4,7|11|5
36|4|9|4|4,2,3|12|2
37|5|10|1|4,3|1|2
38|5|10|2||2|3
39|5|10|3||3|3
40|5|10|4||4|3
41|5|11|1|2,8|5|5
42|5|11|2||6|3
43|5|11|3|1|7|1
44|5|11|4||8|3
45|5|12|1|1|9|1
46|6|12|2|2|10|5
47|6|12|3||11|3
48|6|12|4|1|12|1
49|6|13|1|7|1|3
50|6|13|2|1|2|1
51|6|13|3||3|3
52|6|13|4||4|3
53|6|14|1||5|3
54|6|14|2|8|6|3
55|7|14|3|8|7|3
56|7|14|4||8|3
57|7|15|1||9|3
58|7|15|2||10|3
59|7|15|3|2|11|5
60|7|15|4|1|12|1
61|7|16|1||1|3
62|7|16|2|1,7|2|1
63|7|16|3||3|3
64|8|16|4|1,4|4|3
65|8|17|1|4|5|5
66|8|17|2|4,1|6|3
67|8|17|3|4,5|7|5
68|8|17|4|8,4,5|8|5
69|8|18|1|4,5|9|5
70|8|18|2||10|3
71|8|18|3||11|3
72|8|18|4|2,3|12|2
73|9|19|1|2,3|1|2
74|9|19|2||2|3
75|9|19|3||3|3
76|9|19|4|7|4|3
77|9|20|1||5|3
78|9|20|2||6|3
79|9|20|3|1|7|1
80|9|20|4||8|3
81|9|21|1|1,8|9|1
82|10|21|2|8,6|10|5
83|10|21|3|6|11|5
84|10|21|4|6,1|12|3
85|10|22|1||1|3
86|10|22|2|1|2|1
87|10|22|3||3|3
88|10|22|4||4|3
89|10|23|1|7|5|3
90|10|23|2|2|6|5
91|11|23|3||7|3
92|11|23|4||8|3
93|11|24|1||9|3
94|11|24|2||10|3
95|11|24|3|2,8|11|5
96|11|24|4|1|12|1
97|11|25|1||1|3
98|11|25|2|1|2|1
99|11|25|3||3|3
100|12|25|4|1|4|1
101|12|26|1||5|3
102|12|26|2|1|6|1
103|12|26|3|7|7|3
104|12|26|4||8|3
105|12|27|1||9|3
106|12|27|2|4|10|5
107|12|27|3|4|11|5
108|12|27|4|4,2,3,8|12|2
